model_a,model_b,spearman,jaccard_top10
LR,EBM,0.9219242395009326,0.6666666666666666
LR,XGBoost,0.8809356188832718,0.5384615384615384
LR,CatBoost,0.8918519945508565,0.5384615384615384
EBM,XGBoost,0.9653198765734746,0.6666666666666666
EBM,CatBoost,0.9723337643674448,0.6666666666666666
XGBoost,CatBoost,0.987976639199809,0.8181818181818182
