model,feature,mean_abs_attribution,point_rank,in_top10_frequency,rank_ci_low,rank_median,rank_ci_high
CatBoost,NAME_HOUSING_TYPE,0.013400786556303501,32,0.0,32.0,32.0,32.0
CatBoost,NAME_TYPE_SUITE,0.009343529120087624,33,0.0,33.0,33.0,34.0
CatBoost,FLAG_DOCUMENT_16,0.008348263800144196,34,0.0,33.0,34.0,36.0
CatBoost,AMT_REQ_CREDIT_BUREAU_MON,0.007723604328930378,35,0.0,34.0,35.0,36.0
CatBoost,OBS_60_CNT_SOCIAL_CIRCLE,0.007372545078396797,36,0.0,34.0,36.0,36.0
CatBoost,FLAG_DOCUMENT_18,0.0057566468603909016,37,0.0,36.0,37.0,39.0
CatBoost,REGION_RATING_CLIENT,0.004991817753762007,38,0.0,37.0,38.0,38.0
CatBoost,FLAG_DOCUMENT_6,0.004361021798104048,39,0.0,38.0,39.0,40.0
CatBoost,FLAG_OWN_REALTY,0.003781325416639447,40,0.0,40.0,41.0,42.0
CatBoost,CNT_FAM_MEMBERS,0.0037195966579020023,41,0.0,40.0,41.0,43.0
CatBoost,FLAG_DOCUMENT_14,0.0032939226366579533,42,0.0,39.0,42.0,46.0
CatBoost,FLAG_DOCUMENT_13,0.0028956749010831118,43,0.0,40.0,43.0,47.0
CatBoost,FLAG_EMP_PHONE,0.0026907993014901876,44,0.0,42.0,44.0,45.0
CatBoost,FLAG_EMAIL,0.0024586187209933996,45,0.0,43.0,45.0,46.0
CatBoost,OBS_30_CNT_SOCIAL_CIRCLE,0.0022517270408570766,46,0.0,44.0,46.0,46.0
CatBoost,DAYS_EMPLOYED_ANOM,0.001838676049374044,47,0.0,46.0,47.0,47.0
CatBoost,CNT_CHILDREN,0.0012091976823285222,48,0.0,48.0,48.0,49.0
CatBoost,REG_CITY_NOT_WORK_CITY,0.0011935123475268483,49,0.0,48.0,49.0,49.0
CatBoost,AMT_REQ_CREDIT_BUREAU_WEEK,0.000841810368001461,50,0.0,50.0,50.0,53.0
CatBoost,LIVE_CITY_NOT_WORK_CITY,0.0008024033741094172,51,0.0,50.0,51.0,52.0
CatBoost,FLAG_DOCUMENT_8,0.0007733995444141328,52,0.0,50.0,52.0,53.0
CatBoost,REG_REGION_NOT_WORK_REGION,0.0007106888806447387,53,0.0,51.0,53.0,54.0
CatBoost,REG_REGION_NOT_LIVE_REGION,0.0005152078229002655,54,0.0,54.0,55.0,56.025001525878906
CatBoost,AMT_REQ_CREDIT_BUREAU_DAY,0.0005078705726191401,55,0.0,54.0,55.0,57.0
CatBoost,FLAG_DOCUMENT_11,0.00047617978998459876,56,0.0,54.0,56.0,57.0
CatBoost,FLAG_DOCUMENT_15,0.0002967743494082242,57,0.0,54.0,57.0,59.0
CatBoost,FLAG_DOCUMENT_19,0.0001340300077572465,58,0.0,57.0,58.0,60.0
CatBoost,FLAG_DOCUMENT_5,0.00011354392336215824,59,0.0,57.0,59.0,60.0
CatBoost,FLAG_DOCUMENT_21,8.09808771009557e-05,60,0.0,58.0,60.0,61.0
CatBoost,FLAG_DOCUMENT_9,3.851449582725763e-05,61,0.0,60.0,61.0,61.0
CatBoost,FLAG_DOCUMENT_2,4.901640295429388e-06,62,0.0,62.0,62.0,62.0
CatBoost,AMT_REQ_CREDIT_BUREAU_HOUR,0.0,63,0.0,67.5,67.5,67.5
CatBoost,FLAG_CONT_MOBILE,0.0,64,0.0,67.5,67.5,67.5
CatBoost,LIVE_REGION_NOT_WORK_REGION,0.0,65,0.0,67.5,67.5,67.5
CatBoost,FLAG_DOCUMENT_20,0.0,66,0.0,67.5,67.5,67.5
CatBoost,FLAG_DOCUMENT_7,0.0,67,0.0,67.5,67.5,67.5
CatBoost,FLAG_MOBIL,0.0,68,0.0,67.5,67.5,67.5
CatBoost,FLAG_DOCUMENT_4,0.0,69,0.0,67.5,67.5,67.5
CatBoost,FLAG_DOCUMENT_10,0.0,70,0.0,67.5,67.5,67.5
CatBoost,FLAG_DOCUMENT_12,0.0,71,0.0,67.5,67.5,67.5
CatBoost,FLAG_DOCUMENT_17,0.0,72,0.0,67.5,67.5,67.5
