model_a,model_b,spearman
LR,EBM,0.8455339830273728
LR,XGBoost,0.7502833120398167
LR,CatBoost,0.7855856763947281
EBM,XGBoost,0.8927699021623717
EBM,CatBoost,0.9600987145219068
XGBoost,CatBoost,0.9181661363691147
