model,feature,mean_abs_attribution,rank
EBM,tax_liens,0.0011184659505740222,57
EBM,acc_now_delinq,0.0004973874184208295,58
EBM,num_tl_30dpd,0.0003696773456723166,59
EBM,chargeoff_within_12_mths,0.0001035067721754152,60
EBM,num_tl_120dpd_2m,4.305669417886889e-05,61
EBM,disbursement_method,0.0,62
XGBoost,term,0.39741240575909614,1
XGBoost,loan_amnt,0.20826633567093086,2
XGBoost,fico_range_low,0.202906032053761,3
XGBoost,annual_inc,0.17212590682463633,4
XGBoost,dti,0.1519424312830306,5
XGBoost,acc_open_past_24mths,0.15099807444907493,6
XGBoost,addr_state,0.13156394670389826,7
XGBoost,purpose,0.10800539020728862,8
XGBoost,home_ownership,0.09469285894563177,9
XGBoost,num_tl_op_past_12m,0.07893155185635987,10
XGBoost,mo_sin_old_rev_tl_op,0.0737532347637516,11
XGBoost,percent_bc_gt_75,0.06866021857719898,12
XGBoost,total_bc_limit,0.06794787080495462,13
XGBoost,mths_since_recent_bc,0.06494212808946032,14
XGBoost,mths_since_recent_inq,0.06139889067204058,15
XGBoost,delinq_2yrs,0.05579362277686596,16
XGBoost,tot_hi_cred_lim,0.049926925182825474,17
XGBoost,inq_last_6mths,0.04933826344672457,18
XGBoost,verification_status,0.04803750433246334,19
XGBoost,bc_open_to_buy,0.047247896521480016,20
XGBoost,mo_sin_rcnt_rev_tl_op,0.04594750202695468,21
XGBoost,num_il_tl,0.04567431194834262,22
XGBoost,total_il_high_credit_limit,0.04525888189312309,23
XGBoost,bc_util,0.04495862496621794,24
XGBoost,revol_util,0.04428382993479386,25
XGBoost,mo_sin_rcnt_tl,0.042847166566427404,26
XGBoost,revol_bal,0.042036234083153434,27
XGBoost,num_rev_tl_bal_gt_0,0.03963872598771013,28
XGBoost,credit_history_months,0.039457413696296496,29
XGBoost,total_acc,0.03812157702424156,30
XGBoost,emp_length,0.03602423122300706,31
XGBoost,pct_tl_nvr_dlq,0.0335767740152578,32
XGBoost,mort_acc,0.03259151656524227,33
XGBoost,total_rev_hi_lim,0.030608412607717128,34
