model,cutoff,n_train,n_test,train_base_rate,default_rate_test,roi,emp_cutoff,eta_oof,validation_auc,code_fingerprint,elapsed_seconds,auc,pr_auc,brier,emp,eta,precision,recall,f1,precision_fix,recall_fix,f1_fix,balacc_fix
LR,2015,826606,518744,0.184252231413757,0.2241857255216446,0.13141985589265018,0.642146897507453,0.17647319802554956,0.7240359184317576,be162763427db5e2ddb2a31b883e452fa044d10eaa90b1f3789de573001a16b9,158.29092073440552,0.6985577990805978,0.3940696713775104,0.16082633866218546,0.01969467532393821,0.18621240549193563,0.4335302631266757,0.3142353497570833,0.3643669393635743,0.34591803960096734,0.6297347263424911,0.4465453481175707,0.6428244459320426
EBM,2015,826606,518744,0.184252231413757,0.2241857255216446,0.13141985589265018,0.6468956183402451,0.17555183196663487,0.7335149289546733,be162763427db5e2ddb2a31b883e452fa044d10eaa90b1f3789de573001a16b9,12243.369295358658,0.7105808742468497,0.40448737371035504,0.1589262005587822,0.020424191681528158,0.18433058708979472,0.4405306702134854,0.33606775871705574,0.3812733826635384,0.35981577720869395,0.6173782191839718,0.45465368102432907,0.6499820436035004
XGBoost,2015,826606,518744,0.184252231413757,0.2241857255216446,0.13141985589265018,0.6445376618831644,0.17575709691659938,0.737893011467955,be162763427db5e2ddb2a31b883e452fa044d10eaa90b1f3789de573001a16b9,389.3912374973297,0.7151741974315758,0.4142523694886307,0.15784056041741568,0.020621394621563535,0.18506973013189482,0.4488671501658515,0.3432649726987403,0.38902694537835597,0.3558674134815581,0.6452126058729954,0.45872485067829044,0.6538693946574363
CatBoost,2015,826606,518744,0.184252231413757,0.2241857255216446,0.13141985589265018,0.6410421384104139,0.17707737388575595,0.7391023895275632,be162763427db5e2ddb2a31b883e452fa044d10eaa90b1f3789de573001a16b9,417.5268850326538,0.715331267264708,0.412588020805382,0.15790991534544216,0.020646286459180152,0.18468605845796515,0.4461839746852249,0.3467646932370265,0.39024177823366896,0.35619947814804115,0.6467947891138914,0.45940036522875655,0.6544915207692111
