model_a,model_b,spearman,jaccard_top10
LR,EBM,0.8707159225403541,0.6666666666666666
LR,XGBoost,0.8122434589912115,0.6666666666666666
LR,CatBoost,0.8566140364130845,0.5384615384615384
EBM,XGBoost,0.8884943718365189,0.8181818181818182
EBM,CatBoost,0.9476215658129988,0.6666666666666666
XGBoost,CatBoost,0.9202236156228752,0.8181818181818182
