model,feature,mean_abs_attribution,point_rank,in_top10_frequency,rank_ci_low,rank_median,rank_ci_high
EBM,fico_range_low,0.07136118412017822,19,0.0,18.0,19.0,22.0
EBM,mths_since_recent_bc,0.07135618478059769,20,0.0,18.0,19.0,22.0
EBM,delinq_2yrs,0.06936015188694,21,0.0,19.0,21.0,23.0
EBM,mths_since_recent_inq,0.06903470307588577,22,0.0,20.0,21.5,23.0
EBM,revol_util,0.0663302093744278,23,0.0,22.0,23.0,24.0
EBM,tot_hi_cred_lim,0.06396051496267319,24,0.0,23.0,24.0,25.0
EBM,num_tl_op_past_12m,0.0628659725189209,25,0.0,24.0,25.0,25.0
EBM,revol_bal,0.056289076805114746,26,0.0,26.0,26.0,28.0
EBM,mort_acc,0.05543654039502144,27,0.0,26.0,27.0,28.0
EBM,inq_last_6mths,0.05439933016896248,28,0.0,26.0,28.0,29.0
EBM,mo_sin_rcnt_tl,0.05217719450592995,29,0.0,28.975000381469727,29.0,30.0
EBM,emp_length,0.0519842691719532,30,0.0,28.0,30.0,31.0
EBM,verification_status,0.05022326484322548,31,0.0,30.0,31.0,31.0
EBM,num_il_tl,0.036219920963048935,32,0.0,32.0,32.0,33.0
EBM,num_bc_sats,0.03433210030198097,33,0.0,32.0,33.0,34.0
EBM,num_rev_accts,0.033450897783041,34,0.0,33.0,34.0,35.0
EBM,num_actv_rev_tl,0.032183751463890076,35,0.0,34.0,35.0,35.0
EBM,num_actv_bc_tl,0.029165152460336685,36,0.0,36.0,37.0,39.0
EBM,total_rev_hi_lim,0.028872143477201462,37,0.0,36.0,38.0,40.0
EBM,avg_cur_bal,0.028670651838183403,38,0.0,36.0,38.0,40.0
EBM,num_rev_tl_bal_gt_0,0.028501436114311218,39,0.0,36.0,39.0,40.0
EBM,tot_cur_bal,0.028373470529913902,40,0.0,36.0,39.0,40.0
EBM,bc_open_to_buy,0.02483566477894783,41,0.0,41.0,41.0,42.0
EBM,mo_sin_old_il_acct,0.0245831198990345,42,0.0,41.0,42.0,42.0
EBM,pct_tl_nvr_dlq,0.022962119430303574,43,0.0,43.0,43.0,43.0
EBM,num_bc_tl,0.0204152874648571,44,0.0,44.0,44.0,44.0
EBM,num_accts_ever_120_pd,0.01805315725505352,45,0.0,45.0,45.0,46.0
EBM,num_op_rev_tl,0.017545241862535477,46,0.0,45.0,46.0,46.0
EBM,initial_list_status,0.0100239347666502,47,0.0,47.0,47.0,47.0
EBM,application_type,0.007317868992686272,48,0.0,48.0,49.0,51.0
EBM,pub_rec,0.007298961281776428,49,0.0,48.0,49.0,51.0
EBM,open_acc,0.007108964491635561,50,0.0,48.0,50.0,51.0
EBM,tot_coll_amt,0.006912833079695702,51,0.0,48.0,51.0,51.0
EBM,tax_liens,0.005561793688684702,52,0.0,52.0,52.0,53.0
EBM,collections_12_mths_ex_med,0.005026287864893675,53,0.0,52.0,53.0,54.0
EBM,num_sats,0.004303786903619766,54,0.0,53.0,54.0,55.0
