dataset,model,group_column,group,n,auc,selection_rate,tpr,base_rate_threshold
taiwan,LR,SEX,1,2387,0.7140832162886371,0.2735651445328865,0.5431192660550459,0.22120833333333334
taiwan,LR,SEX,0,3613,0.7025361340149838,0.18931635759756435,0.4578005115089514,0.22120833333333334
taiwan,EBM,SEX,1,2387,0.7747113727599637,0.34394637620444074,0.6752293577981652,0.22120833333333334
taiwan,EBM,SEX,0,3613,0.7776699963231342,0.2590644893440354,0.578005115089514,0.22120833333333334
taiwan,XGBoost,SEX,1,2387,0.7706466843976931,0.317134478424801,0.6330275229357798,0.22120833333333334
taiwan,XGBoost,SEX,0,3613,0.777307956032996,0.2618322723498478,0.5869565217391305,0.22120833333333334
taiwan,CatBoost,SEX,1,2387,0.7724397095299288,0.33766233766233766,0.6623853211009174,0.22120833333333334
taiwan,CatBoost,SEX,0,3613,0.777181027372324,0.2690285081649599,0.6099744245524297,0.22120833333333334
