dataset,model,group_a,group_b,auc_gap,demographic_parity_diff,equal_opportunity_diff
taiwan,LR,0,1,-0.011547082273653309,-0.08424878693532215,-0.0853187545460945
taiwan,EBM,0,1,0.0029586235631704483,-0.08488188686040532,-0.09722424270865115
taiwan,XGBoost,0,1,0.0066612716353028345,-0.05530220607495323,-0.04607100119664931
taiwan,CatBoost,0,1,0.004741317842395176,-0.06863382949737779,-0.05241089654848774
