dataset,model,n_train,auc_mean,auc_std,n_reps,top10_jaccard_across_reps
home_credit,CatBoost,10000,0.6989440688567304,0.0055209614549628855,3,0.6744366744366744
home_credit,EBM,10000,0.7260040584301176,0.001467096963304235,3,0.6744366744366744
home_credit,LR,10000,0.7185446450171541,0.003503608167472114,3,0.5811965811965812
home_credit,XGBoost,10000,0.6859147191518361,0.0035844587940925938,3,0.5079365079365079
home_credit,CatBoost,50000,0.7346918708887382,0.0015811617957920032,3,0.6744366744366744
home_credit,EBM,50000,0.7479488602703864,0.00042351078036861303,3,0.7676767676767677
home_credit,LR,50000,0.7393004109289038,0.0005627216871053309,3,0.6744366744366744
home_credit,XGBoost,50000,0.7219866152814652,0.0021212156919568656,3,0.8787878787878789
home_credit,CatBoost,100000,0.744730007240776,0.0015995294207259013,3,0.8787878787878789
home_credit,EBM,100000,0.7511006348625173,0.0008255188678125787,3,1.0
home_credit,LR,100000,0.7417682749615319,0.00018457487055111948,3,0.8787878787878789
home_credit,XGBoost,100000,0.7351354757275956,0.0016829743830682638,3,0.8787878787878789
