model_a,model_b,spearman,jaccard_top10
LR,EBM,0.8917293233082706,0.8181818181818182
LR,XGBoost,0.8225563909774435,0.6666666666666666
LR,CatBoost,0.8781954887218045,0.6666666666666666
EBM,XGBoost,0.8947368421052632,0.6666666666666666
EBM,CatBoost,0.9127819548872179,0.6666666666666666
XGBoost,CatBoost,0.9473684210526315,0.8181818181818182
