dataset,model,auc,pr_auc,brier,emp,eta,precision,recall,f1,precision_fix,recall_fix,f1_fix,balacc_fix,test_default_rate,prior_default_frozen,mean_validation_auc,std_validation_auc,n_encoded_features,search_seconds,refit_seconds,total_seconds,code_fingerprint
south_german,LR,0.8152380952380953,0.670154855684845,0.15271209257817792,0.04779948602822222,0.1579550922222222,0.6470588235294118,0.55,0.5945945945945946,0.5444444444444444,0.8166666666666667,0.6533333333333333,0.7619047619047619,0.3,0.3,0.7878720238095238,0.03844116821305234,43,0.9592239856719971,0.02131819725036621,1.205406904220581,e6d9da67c49c83e098a461326ba5c835f7f605262c8917cb6a70eb3f63c4d236
south_german,EBM,0.8185714285714286,0.6193139574156769,0.15383341993736516,0.04692444069273333,0.1816877563333333,0.6829268292682927,0.4666666666666667,0.5544554455445545,0.5106382978723404,0.8,0.6233766233766234,0.7357142857142858,0.3,0.3,0.7753720238095237,0.033847543177287234,43,123.44744849205017,1.3979246616363525,138.1524338722229,e6d9da67c49c83e098a461326ba5c835f7f605262c8917cb6a70eb3f63c4d236
south_german,XGBoost,0.8142857142857143,0.655371411600253,0.15972544289576418,0.045674945220227275,0.16046224886363636,0.6285714285714286,0.36666666666666664,0.4631578947368421,0.5365853658536586,0.7333333333333333,0.6197183098591549,0.7309523809523809,0.3,0.3,0.783203125,0.036606084237500024,43,23.36512303352356,0.06682634353637695,24.149198055267334,e6d9da67c49c83e098a461326ba5c835f7f605262c8917cb6a70eb3f63c4d236
south_german,CatBoost,0.8403571428571428,0.7093149069037774,0.1483552194556496,0.047380674557181826,0.16021051409090908,0.7435897435897436,0.48333333333333334,0.5858585858585859,0.6290322580645161,0.65,0.639344262295082,0.7428571428571429,0.3,0.3,0.7906249999999999,0.04426451785685431,43,258.79857993125916,0.5097298622131348,264.0962481498718,e6d9da67c49c83e098a461326ba5c835f7f605262c8917cb6a70eb3f63c4d236
