candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,{'clf__lr__C': 0.001},0.7796875,0.05008172861780815,6,0.01752619743347168,0.008296918869018555,0.8126860119047619,0.7114955357142858,0.8511904761904762,0.7388392857142858,0.7842261904761905
1,{'clf__lr__C': 0.01},0.7878720238095238,0.03844116821305234,1,0.015808629989624023,0.008121252059936523,0.8212425595238095,0.7369791666666666,0.8381696428571429,0.75390625,0.7890625
2,{'clf__lr__C': 0.1},0.7869791666666667,0.031690970005611094,2,0.021047639846801757,0.011047124862670898,0.8147321428571428,0.7496279761904762,0.8301711309523809,0.7555803571428571,0.7847842261904763
3,{'clf__lr__C': 1.0},0.7848214285714287,0.030991927932515057,3,0.022441768646240236,0.011061525344848633,0.8080357142857143,0.751860119047619,0.8286830357142857,0.7494419642857143,0.7860863095238096
4,{'clf__lr__C': 10.0},0.7838541666666666,0.03132100245916102,4,0.022470903396606446,0.011075448989868165,0.8069196428571429,0.7520461309523809,0.828125,0.7464657738095237,0.7857142857142857
5,{'clf__lr__C': 100.0},0.7836309523809524,0.03154213472938328,5,0.022630643844604493,0.011086750030517577,0.8069196428571429,0.7520461309523809,0.828125,0.7455357142857142,0.7855282738095238
