candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc
0,{'clf__lr__C': 0.001},0.7239980029950799,0.0,6,5.93016242980957,1.1957709789276123,0.7239980029950799
1,{'clf__lr__C': 0.01},0.7240104288132906,0.0,5,5.941041707992554,1.196991205215454,0.7240104288132906
2,{'clf__lr__C': 0.1},0.7240338863163478,0.0,4,6.352455139160156,1.1959474086761475,0.7240338863163478
3,{'clf__lr__C': 1.0},0.7240359184317576,0.0,1,6.36281156539917,1.1946680545806885,0.7240359184317576
4,{'clf__lr__C': 10.0},0.7240358047956069,0.0,2,6.244613409042358,1.195817470550537,0.7240358047956069
5,{'clf__lr__C': 100.0},0.7240357974897971,0.0,3,6.2109904289245605,1.1961827278137207,0.7240357974897971
