dataset,model,n_train,rep,auc,n_encoded_features,top10,elapsed_seconds
lending_club,LR,100000,1,0.7063359889984978,141,term|dti|addr_state|loan_amnt|purpose|total_il_high_credit_limit|total_bal_ex_mort|home_ownership|acc_open_past_24mths|credit_history_months,2.4136836528778076
lending_club,EBM,100000,1,0.7157877269872367,141,term|loan_amnt|dti|purpose|addr_state|acc_open_past_24mths|home_ownership|annual_inc|verification_status|fico_range_high,33.64965558052063
lending_club,XGBoost,100000,1,0.7086571333338288,141,term|dti|fico_range_low|loan_amnt|addr_state|acc_open_past_24mths|annual_inc|purpose|home_ownership|total_il_high_credit_limit,2.4806320667266846
lending_club,CatBoost,100000,1,0.7169757389008629,141,term|dti|loan_amnt|acc_open_past_24mths|purpose|annual_inc|fico_range_high|addr_state|home_ownership|verification_status,3.5853271484375
lending_club,LR,100000,2,0.706068755930924,142,term|loan_amnt|total_acc|credit_history_months|dti|addr_state|mo_sin_old_rev_tl_op|home_ownership|purpose|acc_open_past_24mths,2.6141469478607178
lending_club,EBM,100000,2,0.7159688872518909,142,term|loan_amnt|annual_inc|dti|purpose|acc_open_past_24mths|addr_state|home_ownership|fico_range_low|mo_sin_old_rev_tl_op,33.23404383659363
lending_club,XGBoost,100000,2,0.7091877714783514,142,term|fico_range_low|loan_amnt|dti|annual_inc|addr_state|purpose|acc_open_past_24mths|home_ownership|mo_sin_old_rev_tl_op,2.580754041671753
lending_club,CatBoost,100000,2,0.7164679641498601,142,term|loan_amnt|dti|annual_inc|acc_open_past_24mths|fico_range_high|purpose|home_ownership|fico_range_low|addr_state,3.5458550453186035
lending_club,LR,250000,0,0.7069234558332977,141,term|dti|loan_amnt|total_acc|addr_state|home_ownership|total_il_high_credit_limit|purpose|acc_open_past_24mths|total_bal_ex_mort,5.10610556602478
lending_club,EBM,250000,0,0.7181112085107604,141,term|loan_amnt|dti|annual_inc|purpose|acc_open_past_24mths|addr_state|home_ownership|mo_sin_old_rev_tl_op|total_il_high_credit_limit,146.81177258491516
lending_club,XGBoost,250000,0,0.7179965212737027,141,term|fico_range_low|loan_amnt|dti|annual_inc|addr_state|acc_open_past_24mths|purpose|home_ownership|tot_hi_cred_lim,4.216248512268066
lending_club,CatBoost,250000,0,0.7211804441885026,141,term|dti|loan_amnt|acc_open_past_24mths|annual_inc|fico_range_high|home_ownership|purpose|addr_state|fico_range_low,4.854989528656006
lending_club,LR,250000,1,0.7071305451600807,142,term|dti|loan_amnt|addr_state|purpose|total_il_high_credit_limit|total_acc|acc_open_past_24mths|home_ownership|total_bal_ex_mort,5.392942190170288
lending_club,EBM,250000,1,0.7181089858567181,142,term|loan_amnt|dti|purpose|acc_open_past_24mths|addr_state|annual_inc|home_ownership|fico_range_low|total_acc,142.6648292541504
lending_club,XGBoost,250000,1,0.7184880210244936,142,term|fico_range_low|loan_amnt|dti|addr_state|annual_inc|acc_open_past_24mths|purpose|home_ownership|mths_since_recent_bc,4.3372721672058105
lending_club,CatBoost,250000,1,0.7213260643766637,142,term|dti|loan_amnt|acc_open_past_24mths|annual_inc|purpose|addr_state|fico_range_high|home_ownership|fico_range_low,5.028117418289185
lending_club,LR,250000,2,0.7070510798971216,142,term|loan_amnt|dti|addr_state|purpose|credit_history_months|home_ownership|total_acc|acc_open_past_24mths|mo_sin_old_rev_tl_op,5.310235261917114
lending_club,EBM,250000,2,0.7182585557010259,142,term|loan_amnt|dti|purpose|annual_inc|acc_open_past_24mths|addr_state|home_ownership|mo_sin_old_rev_tl_op|credit_history_months,154.9448742866516
lending_club,XGBoost,250000,2,0.7189758432782112,142,term|fico_range_low|loan_amnt|dti|annual_inc|addr_state|purpose|acc_open_past_24mths|home_ownership|mo_sin_old_rev_tl_op,4.310667514801025
lending_club,CatBoost,250000,2,0.7214504703334076,142,term|loan_amnt|dti|acc_open_past_24mths|annual_inc|purpose|fico_range_high|home_ownership|addr_state|fico_range_low,4.937785625457764
