model_a,model_b,spearman,jaccard_top10
LR,EBM,0.2737154150197629,0.42857142857142855
LR,XGBoost,0.191699604743083,0.3333333333333333
LR,CatBoost,0.17490118577075098,0.42857142857142855
EBM,XGBoost,0.941699604743083,0.6666666666666666
EBM,CatBoost,0.874505928853755,0.6666666666666666
XGBoost,CatBoost,0.9367588932806324,0.6666666666666666
